Official Code 2001 Edition,Act Number,Section of Act,Law Number,Type of Change,Act Type,Expiration Date,Bill Title,DCR Cite
01-0303.23,20-503,4(b),PEND,Amend,,,Public Space Enforcement Amendment Act of 2014,61-12690
01-0307.02,20-424,5022,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0307.02,20-540,3,PEND,Note,,,Copper Intrauterine Device Access Act of 2014,62-00234
01-0307.02,20-540,2,PEND,Amend,,,Copper Intrauterine Device Access Act of 2014,62-00234
01-0307.02,20-449,5022,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0307.02,20-377,5022,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0325.161 - .164,20-449,9018,NA,"Note, Repeal",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0325.161 - .164,20-377,9018,NA,"Note, Repeal",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0325.161 - .164,20-424,9018,PEND,Repeal,P,,FY 2015 Budget Support Act,61-09990
01-0325.171,20-449,2092,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0325.171,20-424,2092,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0325.173,20-460,2,NA,Note,E,01/22/15,"H Street, N.E., Retail Priority Area Incentive Emergency Amendment Act of 2014",61-11377
01-0325.173,20-460,2,NA,Note,E,01/22/15,"H Street, N.E., Retail Priority Area Incentive Emergency Amendment Act of 2014",61-11377
01-0325.173,20-475,2,PEND,Note,T,,"H Street, N.E., Retail Priority Area Incentive Temporary Amendment Act of 2014",61-12121
01-0325.271,20-377,1062,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0325.271,20-424,1062,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0325.271,20-449,1062,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0325.281,20-449,5042,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0325.281,20-377,5042,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0325.281,20-424,5042,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0325.291,20-449,7152,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0325.291,20-377,7162,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0325.291,20-424,7152,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0325.301,20-377,7163,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0325.301,20-449,7153,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0325.301,20-424,7153,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0325.311,20-449,7154,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0325.311,20-377,7164,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0325.311,20-424,7154,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0325.321,20-377,5152,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0325.321,20-424,5142,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0325.321,20-449,5142,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0325.322,20-449,5143,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0325.322,20-377,5153,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0325.322,20-424,5143,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0325.323,20-449,5144,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0325.323,20-377,5153[5154],NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0325.323,20-424,5144,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0325.324,20-377,5154[5155],NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0325.324,20-424,5145,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0325.324,20-449,5145,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0325.325,20-449,5146,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0325.325,20-424,5146,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0325.325,20-377,5155[5156],NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0325.326,20-424,5147,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0325.326,20-449,5147,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0325.326,20-377,5156[5157],NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0325.331,20-509,2,NA,"Note, New Sec",E,03/08/15,Grandparent Caregivers Program Subsidy Transfer Emergency Amendment  Act of 2014,61-12717
01-0325.331,20-537,2,PEND,"Note, New Sec",T,,PEPCO Cost-Sharing Fund for DC PLUG Establishment Temporary Act of 2014,62-00864
01-0325.81,20-377,3004,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0325.81,20-424,3004,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0325.81,20-449,3004,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0328.12,20-424,1082,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0328.12,20-449,1082,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0328.12,20-377,1082,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0329.01,20-377,4092,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0329.01,20-449,4092,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0329.01,20-424,4092,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0523.01,20-449,1075,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0523.01,20-377,1075,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0523.01,20-421,3,20-151,Amend,,,Other Post-Employment Benefits Fund Amendment Act,61-08893
01-0523.01,20-481,232,NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
01-0523.01,20-484,6,PEND,Amend,,,Commission on Health Disparities Establishment Act,61-12403
01-0523.01,20-424,1075,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0523.01,20-481,311,NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
01-0541.01,20-449,1092,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0541.01,20-424,1092,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0541.01,20-377,1092,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0541.02,20-377,1093,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0541.02,20-449,1093,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0541.02,20-424,1093,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0604.06,20-481,221,NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
01-0604.06,20-481,104,NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
01-0608.01,20-524,201(a),NA,Note,E,03/18/15,Metropolitan Police Department Commencement of Discipline and Command Staff Appointment Emergency Amendment Act of 2014,61-13112
01-0608.01,20-499,201(a),PEND,Amend,P,,Metropolitan Police Department Commencement of Discipline and Command Staff Appointment Amendment Act of 2014,61-12582
01-0608.01,20-499,203,PEND,Note,P,,Metropolitan Police Department Commencement of Discipline and Command Staff Appointment Amendment Act of 2014,61-12582
01-0608.51a,20-377,1014(b),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0608.51a,20-377,1013,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0608.51a,20-424,1013,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0608.51a,20-424,1014(b),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0608.51a,20-449,1013,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0608.51a,20-449,1014(b),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0608.51a - .64,20-424,1014(c),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0608.51a - .64,20-377,1014(c),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0608.51a - .64,20-449,1014(c),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0608.62,20-424,1012(a),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0608.62,20-424,1014(a)(1),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0608.62,20-449,1012(a),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0608.62,20-377,1014(a)(1),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0608.62,20-449,1014(a)(1),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0608.62,20-377,1012(a),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0608.63,20-449,1012(b),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0608.63,20-424,1014(a)(2),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0608.63,20-424,1012(b),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0608.63,20-377,1012(b),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0608.63,20-449,1014(a)(2),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0608.63,20-377,1014(a)(2),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0608.64,20-424,1014(a)(3),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0608.64,20-424,1012(c),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0608.64,20-377,1014(a)(3),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0608.64,20-449,1014(a)(3),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0608.64,20-377,1012(c),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0608.64,20-449,1012(c),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0608.81,20-480,2,NA,Note,E,02/08/15,District Government Certificate of Good Standing Filing Requirement Emergency Amendment  of 2014,61-12131
01-0608.81,20-506,2,PEND,Note,T,,District Government Certificate of Good Standing Filing Requirement Temporary  Amendment  of 2014,61-12713
01-0609.08,20-424,7103(a),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0609.08,20-449,7103(a),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0609.08,20-378,201,20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
01-0609.08,20-377,7113(a),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0609.08,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0609.08,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0611.03,20-424,3052,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0611.03,20-461,2(e),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
01-0611.03,20-449,1002,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0611.03,20-449,3052,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0611.03,20-377,3052,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0611.03,20-491,2(a),PEND,Amend,,,Retired District Employee Annuity Amendment Act,61-12450
01-0611.03,20-424,1002,PEND,Note,P,,FY 2015 Budget Support Act,61-09990
01-0611.03,20-377,1002,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0611.03,20-555,2(e),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
01-0611.08,20-481,241,NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
01-0611.08,20-491,2(b),PEND,Amend,,,Retired District Employee Annuity Amendment Act,61-12450
01-0612.03c,20-461,2(c),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
01-0612.03c,20-377,1052(b),NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0612.03c,20-555,2(f)(1),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
01-0612.03c,20-449,1052(b),NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0612.03c,20-461,2(b),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
01-0612.03c,20-377,1053,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0612.03c,20-424,1053,PEND,Note,P,,FY 2015 Budget Support Act,61-09990
01-0612.03c,20-424,1052(b),PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0612.03c,20-555,2(b),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
01-0612.03c,20-449,1053,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0617.17,20-384,2,NA,Note,E,10/28/14,Interest Arbitration Award and Compensation Agreement between the District of Columbia Fire and Emergency Medical Services Department and Local 36 International Association of Firefighters (Compensation Unit 4) Emergency Approval Act of 2014,61-08043
01-0621.09,20-421,2(b),20-151,Amend,,,Other Post-Employment Benefits Fund Amendment Act,61-08893
01-0621.09a - .09f,20-421,2(c),20-151,New Section,,,Other Post-Employment Benefits Fund Amendment Act,61-08893
01-0621.51 - .54,20-421,2(d),20-151,New Section,,,Other Post-Employment Benefits Fund Amendment Act,61-08893
01-0623.06,20-424,1022(b)(1),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0623.06,20-377,1022(b)(1),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0623.06,20-449,1022(b)(1),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0623.06b,20-377,1022(b)(2),NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0623.06b,20-449,1022(b)(2),NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0623.06b,20-424,1022(b)(2),PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0623.07,20-449,1022(b)(3),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0623.07,20-377,1022(b)(3),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0623.07,20-424,1022(b)(3),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0623.33,20-377,1022(b)(4),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0623.33,20-424,1022(b)(4),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0623.33,20-449,1022(b)(4),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0632.03,20-499,201(b),PEND,Amend,P,,Metropolitan Police Department Commencement of Discipline and Command Staff Appointment Amendment Act of 2014,61-12582
01-0632.03,20-499,203,PEND,Note,P,,Metropolitan Police Department Commencement of Discipline and Command Staff Appointment Amendment Act of 2014,61-12582
01-0732,20-491,6(a),PEND,Amend,,,Retired District Employee Annuity Amendment Act,61-12450
01-1001.01,20-440,2(a),PEND,Amend,P,,Special Election Reform Amendment Act,61-10738
01-1001.02,20-437,2(a),PEND,Amend,P,,Voter Registration Access and Modernization Amendment Act,61-10730
01-1001.02,20-440,2(b),PEND,Amend,P,,Special Election Reform Amendment Act,61-10738
01-1001.07,20-437,2(b),PEND,Amend,P,,Voter Registration Access and Modernization Amendment Act,61-10730
01-1001.08,20-386,2,20-143,Amend,P,,Board of Elections Nominating Petition Circulator Affidavit Amendment Act,61-08057
01-1001.08,20-449,1162,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-1001.08,20-377,1162,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-1001.08,20-424,1162,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-1001.08,20-428,2,NA,Note,E,01/01/15,Board of Elections Nominating Petition Circulator Affidavit Second Congressional Review Emergency Amendment Act of 2014,61-10702
01-1001.08,20-440,2(c),PEND,Amend,P,,Special Election Reform Amendment Act,61-10738
01-1001.10,20-387,2,20-144,Amend,P,,Party Officer Elections Amendment Act,61-08059
01-1001.10,20-440,2(d),PEND,Amend,P,,Special Election Reform Amendment Act,61-10738
01-1001.11,20-440,2(e),PEND,Amend,P,,Special Election Reform Amendment Act,61-10738
01-1001.15,20-440,2(f),PEND,Amend,P,,Special Election Reform Amendment Act,61-10738
01-1162.24,20-377,1152(a),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-1162.24,20-449,1152(a),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-1162.24,20-424,1152(a),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-1162.25,20-449,1152(b),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-1162.25,20-424,1152(b),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-1162.25,20-377,1152(b),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-1164.01,20-461,2(k),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
01-1164.01,20-449,7010e,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-1164.01,20-555,2(j),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
01-1432,20-449,1032,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-1432,20-377,1032,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-1432,20-424,1032,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-1433,20-424,9012,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-1433,20-377,9012,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-1433,20-449,9012,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
02-0211.01,20-449,1132,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
02-0211.01,20-377,1132,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
02-0211.01,20-424,1132,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
02-0211.02,20-424,1133,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
02-0211.02,20-449,1133,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
02-0211.02,20-377,1133,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
02-0211.03,20-424,1134,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
02-0211.03,20-377,1134,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
02-0211.03,20-449,1134,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
02-0218.01 et al.,20-449,7005,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
02-0218.01 et al.,20-424,7005,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
02-0218.01 et al.,20-377,7005,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
02-0218.02,20-465,2,NA,Note,E,01/11/15,Small & Certified Business Enterprise Development and Assistance Clarification Congressional Review Emergency Amendment Act of 2014,61-11830
02-0218.02,20-558,2(a),PEND,Amend,,,Small and Certified Business Enterprise Development and Assistance Waiver Certification Amendment Act of 2014,62-00458
02-0218.02,20-419,2,20-150,Note,T,07/30/15,Small & Certified Business Enterprise Development and Assistance Clarification Temporary Amendment Act of 2014,61-08318
02-0218.02,20-379,2,NA,Note,E,10/13/14,Small & Certified Business Enterprise Development and Assistance Clarification Emergency Amendment Act of 2014,61-07793
02-0218.41,20-558,2(b),PEND,Amend,,,Small and Certified Business Enterprise Development and Assistance Waiver Certification Amendment Act of 2014,62-00458
